"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 03, 2022","27,100.0","27,500.0","28,550.0","26,850.0","1.81M","-2.34%"
"Jun 02, 2022","27,750.0","27,750.0","28,000.0","27,300.0","4.39M","0.00%"
"Jun 01, 2022","27,750.0","27,550.0","28,000.0","27,500.0","4.14M","-0.54%"
"May 31, 2022","27,900.0","27,050.0","27,950.0","27,000.0","6.06M","2.20%"
"May 30, 2022","27,300.0","27,050.0","27,400.0","27,000.0","2.82M","1.11%"
"May 27, 2022","27,000.0","27,000.0","27,250.0","26,700.0","3.93M","1.12%"
"May 26, 2022","26,700.0","27,250.0","27,250.0","26,550.0","3.78M","-0.74%"
"May 25, 2022","26,900.0","26,000.0","27,000.0","26,000.0","4.50M","3.46%"
"May 24, 2022","26,000.0","25,000.0","26,000.0","25,000.0","4.45M","4.00%"
"May 23, 2022","25,000.0","25,950.0","26,200.0","25,000.0","4.21M","-3.47%"
"May 20, 2022","25,900.0","26,100.0","26,450.0","25,850.0","5.05M","-0.77%"
"May 19, 2022","26,100.0","26,000.0","26,400.0","25,800.0","4.27M","-1.88%"
"May 18, 2022","26,600.0","26,550.0","27,250.0","26,300.0","6.43M","1.33%"
"May 17, 2022","26,250.0","24,400.0","26,250.0","24,400.0","5.91M","6.92%"
"May 16, 2022","24,550.0","25,000.0","25,350.0","24,500.0","5.22M","2.72%"
"May 13, 2022","23,900.0","25,000.0","25,150.0","23,500.0","8.03M","-4.40%"
"May 12, 2022","25,000.0","26,050.0","26,600.0","24,850.0","6.37M","-6.37%"
"May 11, 2022","26,700.0","25,350.0","26,900.0","25,200.0","5.67M","5.95%"
"May 10, 2022","25,200.0","24,000.0","25,300.0","24,000.0","6.49M","0.20%"
"May 09, 2022","25,150.0","26,700.0","26,800.0","25,150.0","5.43M","-6.85%"
"May 06, 2022","27,000.0","27,300.0","27,900.0","27,000.0","2.34M","-3.23%"
"May 05, 2022","27,900.0","27,400.0","27,900.0","27,000.0","4.60M","3.33%"
"May 04, 2022","27,000.0","27,750.0","28,000.0","26,900.0","4.60M","-2.70%"
"Apr 29, 2022","27,750.0","27,850.0","28,350.0","27,750.0","5.95M","-1.60%"
"Apr 28, 2022","28,200.0","28,300.0","28,450.0","27,950.0","2.07M","-0.35%"
"Apr 27, 2022","28,300.0","27,650.0","28,300.0","27,500.0","3.38M","2.35%"
"Apr 26, 2022","27,650.0","27,000.0","27,750.0","25,500.0","5.98M","1.10%"
"Apr 25, 2022","27,350.0","29,350.0","29,350.0","27,350.0","6.29M","-6.97%"
"Apr 22, 2022","29,400.0","29,450.0","29,600.0","28,900.0","3.59M","1.38%"
"Apr 21, 2022","29,000.0","28,600.0","29,500.0","28,400.0","5.31M","1.05%"
"Apr 20, 2022","28,700.0","28,750.0","29,300.0","28,550.0","4.26M","-0.17%"
"Apr 19, 2022","28,750.0","29,500.0","29,900.0","28,750.0","4.64M","-1.54%"
"Apr 18, 2022","29,200.0","30,900.0","30,900.0","29,200.0","8.40M","-5.81%"
"Apr 15, 2022","31,000.0","31,450.0","31,450.0","30,900.0","5.07M","-0.64%"
"Apr 14, 2022","31,200.0","31,500.0","31,900.0","31,150.0","2.93M","-0.95%"
"Apr 13, 2022","31,500.0","31,200.0","31,650.0","31,200.0","4.19M","1.61%"
"Apr 12, 2022","31,000.0","32,150.0","32,200.0","31,000.0","5.69M","-3.28%"
"Apr 08, 2022","32,050.0","32,500.0","32,550.0","32,050.0","5.33M","-1.54%"
"Apr 07, 2022","32,550.0","32,700.0","33,000.0","32,350.0","6.08M","-0.15%"
"Apr 06, 2022","32,600.0","32,100.0","32,650.0","32,100.0","5.77M","0.77%"
