"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 03, 2022","136,200.0","139,000.0","139,000.0","133,300.0","951.60K","0.15%"
"Jun 02, 2022","136,000.0","133,000.0","138,700.0","132,000.0","954.10K","3.42%"
"Jun 01, 2022","131,500.0","125,000.0","131,500.0","124,500.0","882.30K","6.13%"
"May 31, 2022","123,900.0","131,000.0","131,000.0","122,000.0","1.58M","-5.28%"
"May 30, 2022","130,800.0","133,000.0","133,200.0","130,000.0","714.90K","-1.51%"
"May 27, 2022","132,800.0","126,000.0","133,200.0","124,500.0","1.24M","6.67%"
"May 26, 2022","124,500.0","124,000.0","127,500.0","123,500.0","1.09M","2.22%"
"May 25, 2022","121,800.0","114,500.0","121,800.0","113,500.0","1.07M","6.94%"
"May 24, 2022","113,900.0","113,000.0","113,900.0","108,000.0","843.10K","2.15%"
"May 23, 2022","111,500.0","110,500.0","114,900.0","107,800.0","1.03M","2.76%"
"May 20, 2022","108,500.0","109,800.0","111,900.0","107,500.0","1.24M","-1.36%"
"May 19, 2022","110,000.0","105,600.0","111,000.0","105,600.0","821.60K","-3.08%"
"May 18, 2022","113,500.0","110,700.0","114,000.0","109,000.0","1.18M","4.42%"
"May 17, 2022","108,700.0","94,500.0","108,700.0","94,500.0","2.29M","6.99%"
"May 16, 2022","101,600.0","110,000.0","114,000.0","101,600.0","1.24M","-6.96%"
"May 13, 2022","109,200.0","109,200.0","111,900.0","109,200.0","1.35M","-6.98%"
"May 12, 2022","117,400.0","125,600.0","126,000.0","117,400.0","1.01M","-6.97%"
"May 11, 2022","126,200.0","124,200.0","128,700.0","123,000.0","566.10K","2.60%"
"May 10, 2022","123,000.0","122,800.0","130,000.0","122,800.0","2.12M","-6.82%"
"May 09, 2022","132,000.0","136,500.0","138,900.0","132,000.0","1.17M","-6.98%"
"May 06, 2022","141,900.0","148,000.0","150,900.0","141,900.0","949.80K","-6.95%"
"May 05, 2022","152,500.0","158,100.0","159,500.0","149,300.0","699.70K","-3.30%"
"May 04, 2022","157,700.0","148,600.0","160,000.0","148,600.0","917.40K","0.77%"
"Apr 29, 2022","156,500.0","147,000.0","158,000.0","146,800.0","735.40K","4.82%"
"Apr 28, 2022","149,300.0","146,500.0","153,000.0","146,000.0","504.50K","2.26%"
"Apr 27, 2022","146,000.0","142,000.0","148,000.0","136,200.0","528.50K","0.69%"
"Apr 26, 2022","145,000.0","133,700.0","147,000.0","133,600.0","1.48M","0.97%"
"Apr 25, 2022","143,600.0","150,000.0","155,000.0","143,600.0","1.11M","-6.99%"
"Apr 22, 2022","154,400.0","165,600.0","168,000.0","154,400.0","2.37M","-6.99%"
