"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 03, 2022","27,000.0","27,200.0","27,400.0","26,650.0","3.44M","-0.74%"
"Jun 02, 2022","27,200.0","27,550.0","27,850.0","27,200.0","6.49M","-1.45%"
"Jun 01, 2022","27,600.0","27,600.0","28,000.0","27,550.0","3.93M","-0.54%"
"May 31, 2022","27,750.0","28,000.0","28,000.0","27,500.0","5.29M","-1.25%"
"May 30, 2022","28,100.0","28,250.0","28,250.0","27,900.0","7.94M","0.36%"
"May 27, 2022","28,000.0","27,700.0","28,150.0","27,550.0","8.37M","1.27%"
"May 26, 2022","27,650.0","28,300.0","28,300.0","27,650.0","7.26M","-1.43%"
"May 25, 2022","28,050.0","27,000.0","28,250.0","27,000.0","10.92M","4.47%"
"May 24, 2022","26,850.0","26,500.0","26,850.0","26,150.0","6.69M","2.09%"
"May 23, 2022","26,300.0","27,000.0","27,100.0","26,100.0","6.27M","-2.59%"
"May 20, 2022","27,000.0","26,800.0","27,250.0","26,600.0","5.04M","0.93%"
"May 19, 2022","26,750.0","26,200.0","27,050.0","26,000.0","6.25M","0.38%"
"May 18, 2022","26,650.0","26,800.0","27,500.0","26,400.0","8.68M","1.33%"
"May 17, 2022","26,300.0","24,650.0","26,300.0","24,550.0","8.10M","6.91%"
"May 16, 2022","24,600.0","25,200.0","25,350.0","24,500.0","7.38M","2.07%"
"May 13, 2022","24,100.0","26,000.0","26,200.0","24,100.0","16.13M","-6.04%"
"May 12, 2022","25,650.0","27,000.0","27,300.0","25,650.0","10.18M","-6.73%"
"May 11, 2022","27,500.0","27,050.0","27,500.0","26,700.0","5.76M","1.66%"
"May 10, 2022","27,050.0","25,800.0","27,050.0","25,100.0","10.84M","3.24%"
"May 09, 2022","26,200.0","27,600.0","27,800.0","26,150.0","15.75M","-6.43%"
"May 06, 2022","28,000.0","28,500.0","28,800.0","28,000.0","8.85M","-3.45%"
"May 05, 2022","29,000.0","29,300.0","29,300.0","28,250.0","6.90M","0.35%"
"May 04, 2022","28,900.0","29,800.0","29,850.0","28,900.0","7.87M","-3.02%"
"Apr 29, 2022","29,800.0","29,350.0","29,900.0","29,300.0","8.49M","1.19%"
"Apr 28, 2022","29,450.0","29,800.0","29,900.0","29,400.0","6.27M","-0.84%"
"Apr 27, 2022","29,700.0","29,250.0","29,750.0","28,850.0","7.17M","1.19%"
"Apr 26, 2022","29,350.0","28,000.0","29,450.0","27,000.0","14.78M","4.45%"
