"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 03, 2022","155,000","150,000","155,000","147,000","1.67M","4.94%"
"Jun 02, 2022","147,700","146,500","150,500","145,500","1.81M","1.51%"
"Jun 01, 2022","145,500","144,900","147,000","144,000","1.06M","0.41%"
"May 31, 2022","144,900","145,200","145,200","143,000","739.50K","-0.21%"
"May 30, 2022","145,200","146,700","147,500","143,400","1.26M","-1.02%"
"May 27, 2022","146,700","139,200","146,900","139,200","2.55M","5.54%"
"May 26, 2022","139,000","140,000","140,500","136,000","716.10K","0.00%"
"May 25, 2022","139,000","134,400","141,500","134,000","1.56M","4.51%"
"May 24, 2022","133,000","130,900","133,000","129,800","577.70K","1.68%"
"May 23, 2022","130,800","135,000","135,000","130,000","542.10K","-2.39%"
"May 20, 2022","134,000","132,500","135,800","132,000","869.20K","0.75%"
"May 19, 2022","133,000","130,000","133,500","129,300","839.20K","-0.37%"
"May 18, 2022","133,500","131,700","133,700","129,800","805.60K","1.44%"
"May 17, 2022","131,600","124,900","131,600","122,000","1.06M","6.99%"
"May 16, 2022","123,000","132,500","132,500","121,200","1.33M","-1.68%"
"May 13, 2022","125,100","134,400","135,100","125,100","2.75M","-6.92%"
"May 12, 2022","134,400","139,900","139,900","134,400","1.71M","-4.68%"
"May 11, 2022","141,000","140,200","141,000","137,200","1.17M","0.64%"
"May 10, 2022","140,100","135,000","140,100","133,000","1.82M","2.71%"
"May 09, 2022","136,400","144,200","144,300","136,400","2.69M","-6.96%"
"May 06, 2022","146,600","146,500","148,900","146,100","1.09M","-1.87%"
"May 05, 2022","149,400","150,500","150,500","145,100","1.17M","-0.07%"
"May 04, 2022","149,500","150,000","151,500","148,500","1.15M","0.20%"
"Apr 29, 2022","149,200","145,200","150,000","145,200","1.74M","2.90%"
"Apr 28, 2022","145,000","147,200","157,500","144,500","1.53M","-1.49%"
"Apr 27, 2022","147,200","146,000","147,500","143,000","1.72M","-1.08%"
"Apr 26, 2022","148,800","141,000","150,900","139,000","2.72M","2.69%"
"Apr 25, 2022","144,900","145,000","166,700","144,900","3.71M","-7.00%"
"Apr 22, 2022","155,800","156,600","157,000","145,100","4.05M","0.19%"
"Apr 21, 2022","155,500","154,200","157,500","153,700","2.30M","-0.32%"
"Apr 20, 2022","156,000","155,100","159,400","153,800","1.90M","0.00%"
"Apr 19, 2022","156,000","159,700","161,100","155,000","3.29M","-2.62%"
"Apr 18, 2022","160,200","161,000","162,000","159,100","2.62M","0.00%"
"Apr 15, 2022","160,200","157,500","161,900","157,200","2.34M","0.44%"
"Apr 14, 2022","159,500","156,200","162,800","155,000","2.93M","2.11%"
"Apr 13, 2022","156,200","151,000","157,000","150,500","3.41M","2.29%"
"Apr 12, 2022","152,700","150,000","152,700","146,000","2.64M","1.80%"
"Apr 08, 2022","150,000","155,000","155,000","150,000","2.21M","-3.23%"
"Apr 07, 2022","155,000","159,800","160,100","153,600","3.10M","-2.39%"
"Apr 06, 2022","158,800","154,000","162,000","153,400","2.98M","2.32%"
"Apr 05, 2022","155,200","153,500","156,600","153,000","1.26M","0.13%"
"Apr 04, 2022","155,000","158,500","158,700","155,000","1.40M","-0.64%"
"Apr 01, 2022","156,000","147,500","156,000","147,100","4.13M","7.00%"
"Mar 31, 2022","145,800","144,000","148,500","142,500","1.80M","0.97%"
"Mar 30, 2022","144,400","145,500","146,900","140,100","1.69M","-1.43%"
"Mar 29, 2022","146,500","145,500","149,300","144,000","2.34M","1.74%"
"Mar 28, 2022","144,000","139,200","144,100","138,900","3.83M","3.67%"
"Mar 25, 2022","138,900","134,700","140,400","133,700","3.78M","3.66%"
"Mar 24, 2022","134,000","135,000","135,000","133,000","913.20K","-0.74%"
"Mar 23, 2022","135,000","134,700","136,400","134,600","794.30K","-0.15%"
"Mar 22, 2022","135,200","135,000","136,000","133,600","1.05M","0.22%"
"Mar 21, 2022","134,900","132,000","134,900","131,500","921.70K","2.51%"
"Mar 18, 2022","131,600","130,800","131,800","130,800","791.10K","0.61%"
"Mar 17, 2022","130,800","131,800","132,000","130,800","691.40K","-0.46%"
"Mar 16, 2022","131,400","131,200","132,000","130,000","1.05M","0.00%"
"Mar 15, 2022","131,400","130,700","131,400","129,000","1.01M","-0.23%"
"Mar 14, 2022","131,700","132,100","132,800","129,500","1.23M","-0.98%"
"Mar 11, 2022","133,000","133,400","133,400","132,000","653.00K","-0.37%"
"Mar 10, 2022","133,500","134,000","134,000","132,600","883.00K","-0.22%"
"Mar 09, 2022","133,800","134,100","134,100","132,500","1.15M","-0.30%"
"Mar 08, 2022","134,200","134,000","134,500","132,400","2.00M","0.00%"
"Mar 07, 2022","134,200","134,500","135,000","134,000","1.14M","-1.18%"
"Mar 04, 2022","135,800","136,500","136,600","134,600","1.07M","-0.51%"
"Mar 03, 2022","136,500","135,000","136,500","133,600","1.06M","1.49%"
"Mar 02, 2022","134,500","135,800","135,800","134,000","1.67M","-1.10%"
"Mar 01, 2022","136,000","136,900","137,000","135,100","1.21M","0.00%"
"Feb 28, 2022","136,000","136,500","138,000","135,500","1.80M","-1.16%"
"Feb 25, 2022","137,600","136,900","139,800","136,000","2.69M","0.58%"
"Feb 24, 2022","136,800","137,000","137,700","135,500","1.17M","-0.73%"
"Feb 23, 2022","137,800","137,700","140,600","136,900","1.61M","0.07%"
"Feb 22, 2022","137,700","133,000","139,200","132,400","3.27M","2.84%"
"Feb 21, 2022","133,900","132,500","134,900","132,500","612.10K","-0.07%"
"Feb 18, 2022","134,000","132,100","134,000","132,100","467.80K","-0.37%"
"Feb 17, 2022","134,500","132,000","134,500","131,900","1.03M","1.20%"
"Feb 16, 2022","132,900","134,200","134,200","131,600","562.00K","-0.30%"
"Feb 15, 2022","133,300","132,700","133,900","131,500","572.40K","0.98%"
"Feb 14, 2022","132,000","133,900","135,000","132,000","957.30K","-2.44%"
"Feb 11, 2022","135,300","135,000","136,000","135,000","541.50K","-0.73%"
