"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 01, 2022","26,500","27,000","27,000","26,000","4.00K","0.38%"
"May 31, 2022","26,400","26,800","26,800","26,400","3.03K","-2.94%"
"May 30, 2022","27,200","26,800","27,200","26,800","2.90K","0.00%"
"May 27, 2022","27,200","26,300","27,200","26,300","0.20K","0.00%"
"May 26, 2022","27,200","26,500","28,200","26,500","0.60K","2.26%"
"May 25, 2022","26,600","26,000","27,200","26,000","4.10K","5.56%"
"May 24, 2022","25,200","25,500","26,400","25,200","1.80K","-0.40%"
"May 23, 2022","25,300","25,600","25,800","25,200","1.40K","-1.17%"
"May 20, 2022","25,600","25,600","25,600","25,600","0.50K","-1.54%"
"May 19, 2022","26,000","25,200","26,000","25,000","5.70K","1.96%"
"May 18, 2022","25,500","25,000","26,800","25,000","7.20K","-3.41%"
"May 17, 2022","26,400","25,600","26,400","25,600","0.70K","5.60%"
"May 16, 2022","25,000","25,600","26,600","25,000","21.80K","-3.85%"
"May 13, 2022","26,000","26,700","26,700","25,000","3.60K","0.00%"
"May 12, 2022","26,000","26,800","26,800","26,000","5.40K","-2.99%"
"May 11, 2022","26,800","26,800","26,800","26,800","11.51K","0.00%"
"May 10, 2022","26,800","26,900","26,900","26,500","9.00K","1.90%"
"May 09, 2022","26,300","29,000","29,000","26,000","5.90K","-9.93%"
"May 06, 2022","29,200","28,900","29,200","28,800","2.80K","-1.68%"
"May 05, 2022","29,700","29,800","29,800","29,500","5.40K","-0.67%"
"May 04, 2022","29,900","29,800","29,900","29,800","7.10K","0.34%"
"Apr 29, 2022","29,800","30,000","30,200","29,800","9.81K","2.41%"
"Apr 28, 2022","29,100","29,000","30,000","29,000","6.20K","0.34%"
"Apr 27, 2022","29,000","28,800","30,200","28,100","20.42K","0.69%"
"Apr 26, 2022","28,800","27,800","28,900","25,700","7.60K","1.05%"
"Apr 22, 2022","28,500","29,400","29,500","28,500","5.20K","-1.38%"
"Apr 21, 2022","28,900","30,100","30,100","28,600","15.66K","-3.67%"
"Apr 20, 2022","30,000","30,000","31,000","29,800","6.70K","-1.64%"
"Apr 19, 2022","30,500","30,800","31,600","30,500","24.20K","-0.97%"
"Apr 18, 2022","30,800","30,600","30,800","29,000","11.83K","0.00%"
"Apr 15, 2022","30,800","31,400","31,400","30,800","17.33K","-1.91%"
"Apr 14, 2022","31,400","31,000","31,400","31,000","7.87K","0.00%"
"Apr 13, 2022","31,400","31,600","31,600","31,300","2.00K","-0.32%"
"Apr 12, 2022","31,500","30,800","32,700","30,800","36.40K","2.61%"
"Apr 08, 2022","30,700","31,000","31,100","30,700","20.50K","-1.29%"
"Apr 07, 2022","31,100","30,100","31,500","30,000","29.13K","4.01%"
"Apr 06, 2022","29,900","30,000","30,000","29,900","2.90K","-0.33%"
"Apr 05, 2022","30,000","30,100","30,100","29,800","11.50K","0.00%"
"Apr 04, 2022","30,000","30,100","30,400","29,800","14.32K","-0.99%"
"Apr 01, 2022","30,300","30,500","30,500","30,000","12.60K","0.00%"
"Mar 31, 2022","30,300","30,300","30,300","30,300","3.00K","0.00%"
"Mar 30, 2022","30,300","30,600","31,000","30,300","7.90K","-0.98%"
"Mar 29, 2022","30,600","30,300","31,000","30,300","4.50K","0.99%"
"Mar 28, 2022","30,300","30,200","30,400","30,000","6.60K","-0.33%"
"Mar 25, 2022","30,400","30,500","30,500","30,200","4.12K","0.00%"
"Mar 24, 2022","30,400","31,000","31,000","30,000","20.66K","-1.94%"
"Mar 23, 2022","31,000","31,000","31,000","31,000","7.60K","0.00%"
"Mar 22, 2022","31,000","30,400","31,000","30,300","10.64K","0.98%"
"Mar 21, 2022","30,700","30,100","31,000","30,100","7.00K","0.00%"
"Mar 18, 2022","30,700","30,900","30,900","30,700","7.90K","-0.65%"
"Mar 17, 2022","30,900","30,600","30,900","30,600","1.42K","-0.32%"
"Mar 16, 2022","31,000","30,600","31,000","30,600","1.81K","0.00%"
"Mar 15, 2022","31,000","30,800","31,000","30,100","4.30K","0.32%"
"Mar 14, 2022","30,900","31,100","31,100","30,600","14.17K","-0.64%"
"Mar 11, 2022","31,100","30,700","31,300","30,700","6.50K","1.30%"
"Mar 10, 2022","30,700","31,000","31,000","30,400","4.01K","-0.65%"
"Mar 09, 2022","30,900","30,300","30,900","30,000","8.60K","3.00%"
"Mar 08, 2022","30,000","31,000","31,000","30,000","11.33K","-2.28%"
"Mar 07, 2022","30,700","31,000","31,000","30,000","17.53K","-0.97%"
"Mar 04, 2022","31,000","31,100","32,000","31,000","10.61K","-0.96%"
"Mar 03, 2022","31,300","31,000","31,500","31,000","17.10K","-0.63%"
"Mar 02, 2022","31,500","31,000","31,600","30,500","38.02K","1.61%"
"Mar 01, 2022","31,000","31,600","32,200","31,000","19.02K","-2.52%"
"Feb 28, 2022","31,800","32,700","32,700","31,600","12.27K","-3.34%"
