"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 03, 2022","36,250.0","36,300.0","36,850.0","36,050.0","2.20M","-0.41%"
"Jun 02, 2022","36,400.0","36,900.0","37,000.0","36,000.0","3.53M","-1.22%"
"Jun 01, 2022","36,850.0","37,000.0","37,700.0","36,650.0","3.83M","-0.81%"
"May 31, 2022","37,150.0","37,450.0","37,600.0","37,150.0","5.12M","-1.59%"
"May 30, 2022","37,750.0","38,000.0","38,000.0","37,450.0","4.22M","0.80%"
"May 27, 2022","37,450.0","36,900.0","37,450.0","36,850.0","5.78M","2.04%"
"May 26, 2022","36,700.0","36,700.0","37,250.0","36,550.0","4.69M","0.55%"
"May 25, 2022","36,500.0","35,850.0","36,650.0","35,500.0","6.71M","3.55%"
"May 24, 2022","35,250.0","34,800.0","35,250.0","34,400.0","4.27M","1.15%"
"May 23, 2022","34,850.0","35,800.0","36,200.0","34,850.0","5.29M","-2.38%"
"May 20, 2022","35,700.0","35,800.0","36,450.0","35,350.0","5.44M","-0.28%"
"May 19, 2022","35,800.0","35,400.0","36,400.0","35,200.0","5.69M","-0.69%"
"May 18, 2022","36,050.0","35,700.0","36,900.0","35,350.0","8.69M","3.44%"
"May 17, 2022","34,850.0","32,600.0","34,850.0","32,550.0","9.45M","6.90%"
"May 16, 2022","32,600.0","35,100.0","35,800.0","32,600.0","11.69M","-3.55%"
"May 13, 2022","33,800.0","36,300.0","36,800.0","33,800.0","15.20M","-6.89%"
"May 12, 2022","36,300.0","39,000.0","39,000.0","36,300.0","7.31M","-6.92%"
"May 11, 2022","39,000.0","39,000.0","39,450.0","38,450.0","4.07M","0.78%"
"May 10, 2022","38,700.0","37,450.0","38,850.0","37,450.0","10.24M","0.26%"
"May 09, 2022","38,600.0","41,200.0","41,400.0","38,600.0","12.36M","-6.99%"
"May 06, 2022","41,500.0","41,700.0","42,300.0","41,500.0","4.89M","-2.58%"
"May 05, 2022","42,600.0","42,850.0","42,850.0","41,400.0","4.80M","1.43%"
"May 04, 2022","42,000.0","43,500.0","43,650.0","42,000.0","6.38M","-4.55%"
"Apr 29, 2022","44,000.0","42,300.0","44,000.0","42,200.0","9.80M","4.02%"
"Apr 28, 2022","42,300.0","41,650.0","42,800.0","41,650.0","4.73M","1.68%"
"Apr 27, 2022","41,600.0","41,500.0","42,200.0","40,900.0","6.15M","0.24%"
"Apr 26, 2022","41,500.0","40,600.0","42,000.0","38,850.0","11.12M","1.10%"
"Apr 25, 2022","41,050.0","44,200.0","44,300.0","41,050.0","12.32M","-6.92%"
"Apr 22, 2022","44,100.0","44,000.0","44,750.0","43,550.0","6.68M","1.15%"
"Apr 21, 2022","43,600.0","43,000.0","44,000.0","42,900.0","10.02M","1.28%"
"Apr 20, 2022","43,050.0","43,700.0","44,200.0","43,050.0","7.91M","-1.49%"
"Apr 19, 2022","43,700.0","45,000.0","45,450.0","43,500.0","7.23M","-2.56%"
"Apr 18, 2022","44,850.0","46,000.0","46,250.0","44,800.0","11.51M","-1.64%"
"Apr 15, 2022","45,600.0","47,300.0","47,300.0","45,600.0","18.62M","-3.59%"
"Apr 14, 2022","47,300.0","48,050.0","48,350.0","47,150.0","8.32M","-1.46%"
"Apr 13, 2022","48,000.0","48,400.0","48,450.0","47,900.0","6.72M","0.00%"
"Apr 12, 2022","48,000.0","48,700.0","48,900.0","47,900.0","8.28M","-1.74%"
"Apr 08, 2022","48,850.0","49,400.0","49,400.0","48,800.0","7.03M","-0.91%"
"Apr 07, 2022","49,300.0","49,900.0","50,300.0","49,300.0","5.97M","-1.20%"
"Apr 06, 2022","49,900.0","48,900.0","49,900.0","48,700.0","9.01M","1.73%"
"Apr 05, 2022","49,050.0","49,400.0","49,500.0","49,050.0","5.80M","-1.21%"
"Apr 04, 2022","49,650.0","50,400.0","50,600.0","49,650.0","9.78M","-1.29%"
"Apr 01, 2022","50,300.0","49,550.0","50,400.0","49,400.0","9.58M","1.51%"
"Mar 31, 2022","49,550.0","49,500.0","49,700.0","49,300.0","5.25M","0.81%"
"Mar 30, 2022","49,150.0","48,900.0","49,900.0","48,900.0","5.60M","0.51%"
"Mar 29, 2022","48,900.0","48,900.0","49,150.0","48,650.0","4.27M","0.20%"
"Mar 28, 2022","48,800.0","49,150.0","49,150.0","48,350.0","6.60M","-0.91%"
"Mar 25, 2022","49,250.0","49,400.0","49,450.0","49,150.0","3.18M","-0.10%"
"Mar 24, 2022","49,300.0","49,600.0","49,800.0","49,300.0","3.21M","-0.60%"
"Mar 23, 2022","49,600.0","49,900.0","50,200.0","49,600.0","3.41M","-0.60%"
"Mar 22, 2022","49,900.0","49,550.0","50,300.0","49,500.0","5.95M","0.91%"
"Mar 21, 2022","49,450.0","49,250.0","49,550.0","49,100.0","3.92M","0.51%"
"Mar 18, 2022","49,200.0","49,150.0","49,400.0","49,100.0","2.91M","0.41%"
"Mar 17, 2022","49,000.0","49,450.0","49,500.0","49,000.0","3.25M","-0.10%"
"Mar 16, 2022","49,050.0","48,800.0","49,450.0","48,800.0","4.54M","0.93%"
"Mar 15, 2022","48,600.0","48,600.0","49,000.0","48,500.0","3.83M","0.21%"
"Mar 14, 2022","48,500.0","48,800.0","48,900.0","48,300.0","5.16M","-0.82%"
"Mar 11, 2022","48,900.0","49,200.0","49,200.0","48,700.0","6.42M","-0.71%"
"Mar 10, 2022","49,250.0","49,800.0","49,800.0","49,250.0","4.39M","0.31%"
"Mar 09, 2022","49,100.0","49,000.0","49,350.0","48,900.0","6.96M","0.20%"
"Mar 08, 2022","49,000.0","49,000.0","49,500.0","48,800.0","8.77M","-0.51%"
"Mar 07, 2022","49,250.0","49,500.0","49,600.0","49,100.0","8.12M","-1.40%"
"Mar 04, 2022","49,950.0","49,750.0","50,400.0","49,500.0","7.02M","0.60%"
"Mar 03, 2022","49,650.0","49,500.0","49,900.0","49,150.0","7.39M","0.91%"
"Mar 02, 2022","49,200.0","50,100.0","50,100.0","49,200.0","17.89M","-2.19%"
"Mar 01, 2022","50,300.0","50,700.0","50,700.0","50,100.0","6.95M","-0.20%"
"Feb 28, 2022","50,400.0","50,500.0","50,900.0","50,200.0","7.11M","-0.59%"
"Feb 25, 2022","50,700.0","51,000.0","51,300.0","50,500.0","6.67M","0.40%"
"Feb 24, 2022","50,500.0","51,500.0","51,900.0","49,800.0","15.53M","-2.32%"
"Feb 23, 2022","51,700.0","51,700.0","52,200.0","51,400.0","6.19M","0.58%"
