"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 01, 2022","11,500","12,900","13,600","11,500","5.60K","-3.36%"
"May 31, 2022","11,900","11,900","11,900","11,900","1.50K","0.85%"
"May 30, 2022","11,800","12,000","12,000","11,800","0.20K","2.61%"
"May 27, 2022","11,500","11,500","11,700","11,500","0.30K","-0.86%"
"May 25, 2022","11,600","11,400","11,600","11,400","0.30K","7.41%"
"May 24, 2022","10,800","10,800","10,800","10,800","0.20K","-7.69%"
"May 20, 2022","11,700","9,600","11,700","9,600","0.20K","6.36%"
"May 19, 2022","11,000","11,000","11,000","11,000","0.80K","0.00%"
"May 18, 2022","11,000","11,000","11,000","11,000","4.20K","-0.90%"
"May 17, 2022","11,100","10,900","11,100","10,900","8.10K","1.83%"
"May 16, 2022","10,900","10,100","11,000","10,100","0.31K","7.92%"
"May 13, 2022","10,100","10,100","10,100","10,100","0.60K","-12.17%"
"May 12, 2022","11,500","11,500","11,500","11,500","0.20K","0.00%"
"May 11, 2022","11,500","11,500","11,500","11,500","0.10K","0.00%"
"May 10, 2022","11,500","11,500","11,500","11,500","2.50K","0.00%"
"May 09, 2022","11,500","11,500","11,500","11,500","1.80K","-3.36%"
"May 06, 2022","11,900","11,800","11,900","11,800","0.30K","-0.83%"
"May 05, 2022","12,000","12,000","12,000","12,000","10.10K","4.35%"
"May 04, 2022","11,500","11,500","11,500","11,500","1.00K","0.00%"
"Apr 29, 2022","11,500","12,500","12,500","11,500","0.50K","0.00%"
"Apr 28, 2022","11,500","11,500","11,500","11,500","0.60K","-4.17%"
"Apr 27, 2022","12,000","12,000","12,000","12,000","0.10K","4.35%"
"Apr 26, 2022","11,500","11,000","11,500","11,000","3.30K","-3.36%"
"Apr 22, 2022","11,900","12,000","12,000","11,900","0.60K","0.85%"
"Apr 21, 2022","11,800","12,000","12,000","11,800","1.30K","-1.67%"
"Apr 20, 2022","12,000","12,000","12,000","12,000","0.90K","0.00%"
"Apr 19, 2022","12,000","12,200","12,200","11,700","5.20K","0.00%"
"Apr 18, 2022","12,000","12,000","12,000","12,000","2.20K","-4.76%"
"Apr 15, 2022","12,600","12,300","12,600","12,300","3.40K","-1.56%"
"Apr 14, 2022","12,800","12,200","12,800","12,200","0.30K","6.67%"
"Apr 13, 2022","12,000","12,000","12,000","12,000","0.90K","3.45%"
"Apr 12, 2022","11,600","12,000","12,000","11,600","3.70K","-4.13%"
"Apr 08, 2022","12,100","12,400","12,400","12,000","1.00K","-3.97%"
"Apr 07, 2022","12,600","12,800","12,800","12,100","1.60K","0.00%"
"Apr 06, 2022","12,600","12,600","12,600","12,600","0.20K","-0.79%"
"Apr 05, 2022","12,700","12,700","12,700","12,700","0.10K","4.10%"
"Apr 04, 2022","12,200","12,400","12,400","12,200","6.50K","-3.17%"
"Apr 01, 2022","12,600","12,600","12,600","12,600","0.10K","5.00%"
"Mar 31, 2022","12,000","12,400","12,400","12,000","4.60K","-3.23%"
"Mar 30, 2022","12,400","12,500","12,500","12,400","2.30K","-5.34%"
"Mar 28, 2022","13,100","12,600","13,100","12,600","0.20K","3.15%"
"Mar 24, 2022","12,700","12,500","12,700","12,500","5.20K","2.42%"
"Mar 23, 2022","12,400","12,600","12,700","12,400","2.90K","-3.13%"
"Mar 22, 2022","12,800","12,600","12,800","12,600","7.30K","0.79%"
"Mar 21, 2022","12,700","12,300","12,700","12,100","6.00K","0.79%"
"Mar 18, 2022","12,600","12,700","12,700","12,600","1.90K","0.00%"
"Mar 17, 2022","12,600","12,500","12,700","12,100","2.90K","-1.56%"
"Mar 16, 2022","12,800","11,500","12,900","11,500","15.60K","0.79%"
"Mar 15, 2022","12,700","12,800","12,800","12,600","63.10K","0.79%"
"Mar 14, 2022","12,600","13,100","13,200","12,600","5.60K","-6.67%"
"Mar 11, 2022","13,500","14,100","14,100","13,100","5.20K","-3.57%"
"Mar 10, 2022","14,000","13,800","14,000","13,500","58.00K","0.00%"
"Mar 09, 2022","14,000","13,700","14,100","12,500","18.40K","1.45%"
"Mar 08, 2022","13,800","14,000","14,000","13,800","15.70K","0.00%"
"Mar 07, 2022","13,800","12,900","14,200","12,900","36.19K","6.15%"
"Mar 04, 2022","13,000","13,000","13,200","12,400","41.30K","0.78%"
"Mar 03, 2022","12,900","12,300","13,000","12,200","39.50K","7.50%"
"Mar 02, 2022","12,000","12,000","12,000","12,000","2.00K","-2.44%"
"Mar 01, 2022","12,300","12,300","12,800","12,300","21.90K","0.82%"
"Feb 28, 2022","12,200","12,400","12,400","12,200","10.00K","-2.40%"
"Feb 25, 2022","12,500","13,200","13,200","12,500","29.00K","-5.30%"
"Feb 24, 2022","13,200","13,400","13,400","12,500","14.90K","1.54%"
"Feb 23, 2022","13,000","13,800","13,800","12,300","32.00K","6.56%"
"Feb 22, 2022","12,200","12,000","12,300","12,000","62.20K","1.67%"
"Feb 21, 2022","12,000","11,500","12,000","11,300","14.00K","4.35%"
"Feb 18, 2022","11,500","11,400","12,000","11,400","3.60K","-0.86%"
"Feb 17, 2022","11,600","11,300","11,600","11,300","1.10K","2.65%"
"Feb 16, 2022","11,300","11,700","11,700","11,300","4.60K","-0.88%"
"Feb 15, 2022","11,400","12,200","12,200","11,300","29.50K","-3.39%"
"Feb 14, 2022","11,800","11,300","11,800","11,200","27.20K","7.27%"
"Feb 11, 2022","11,000","11,200","11,500","11,000","23.00K","-2.65%"
"Feb 10, 2022","11,300","11,000","11,400","11,000","23.50K","2.73%"
"Feb 09, 2022","11,000","11,000","11,400","10,300","64.80K","0.00%"
"Feb 08, 2022","11,000","11,000","11,100","10,700","45.30K","-9.09%"
"Feb 07, 2022","12,100","12,400","12,400","11,000","2.30K","5.22%"
"Jan 28, 2022","11,500","11,400","11,600","11,400","5.20K","0.00%"
"Jan 26, 2022","11,500","11,500","11,500","11,500","1.00K","-1.71%"
"Jan 25, 2022","11,700","11,000","11,700","10,400","30.90K","6.36%"
"Jan 24, 2022","11,000","11,800","11,800","11,000","27.50K","-6.78%"
"Jan 21, 2022","11,800","11,400","11,900","11,400","9.70K","2.61%"
"Jan 20, 2022","11,500","11,500","11,600","11,500","2.70K","-4.17%"
"Jan 19, 2022","12,000","11,000","12,000","11,000","12.00K","12.15%"
"Jan 18, 2022","10,700","10,600","12,500","10,600","10.50K","-15.75%"
"Jan 17, 2022","12,700","12,500","12,700","12,000","12.40K","0.79%"
"Jan 14, 2022","12,600","12,200","12,800","12,100","5.90K","0.80%"
"Jan 13, 2022","12,500","12,800","12,900","12,400","9.90K","2.46%"
"Jan 12, 2022","12,200","12,900","12,900","12,200","20.20K","-4.69%"
"Jan 11, 2022","12,800","13,000","13,000","12,800","6.30K","0.00%"
"Jan 10, 2022","12,800","13,000","13,600","12,800","36.00K","0.79%"
"Jan 07, 2022","12,700","12,900","13,800","12,700","71.00K","-2.31%"
"Jan 06, 2022","13,000","12,900","13,000","12,800","40.10K","2.36%"
"Jan 05, 2022","12,700","12,600","12,700","12,500","26.30K","-1.55%"
"Jan 04, 2022","12,900","12,500","12,900","12,500","7.80K","-0.77%"
"Dec 31, 2021","13,000","13,000","13,000","12,800","5.40K","0.00%"
"Dec 30, 2021","13,000","12,800","13,000","12,500","27.90K","3.17%"
"Dec 29, 2021","12,600","12,900","13,000","12,600","24.90K","-0.79%"
"Dec 28, 2021","12,700","13,100","13,100","12,700","9.90K","-2.31%"
"Dec 27, 2021","13,000","13,200","13,200","13,000","1.40K","-0.76%"
"Dec 24, 2021","13,100","12,800","13,200","12,700","19.80K","3.97%"
"Dec 23, 2021","12,600","12,700","13,200","12,600","29.20K","-2.33%"
"Dec 22, 2021","12,900","13,400","13,400","12,900","10.30K","0.00%"
"Dec 21, 2021","12,900","12,900","13,100","12,700","54.10K","-0.77%"
"Dec 20, 2021","13,000","13,000","13,000","12,900","12.80K","0.00%"
"Dec 17, 2021","13,000","13,100","13,200","13,000","15.70K","-3.70%"
"Dec 16, 2021","13,500","13,600","13,600","13,000","18.20K","-0.74%"
"Dec 15, 2021","13,600","13,000","13,700","13,000","13.60K","-2.86%"
"Dec 14, 2021","14,000","13,700","14,000","13,000","41.30K","2.19%"
"Dec 13, 2021","13,700","13,900","13,900","12,800","25.20K","-0.72%"
"Dec 10, 2021","13,800","13,200","13,900","12,700","53.00K","0.00%"
"Dec 09, 2021","13,800","14,100","14,100","13,400","20.20K","-1.43%"
"Dec 08, 2021","14,000","14,700","14,700","13,400","10.50K","1.45%"
"Dec 07, 2021","13,800","13,600","14,200","13,300","73.50K","5.34%"
"Dec 06, 2021","13,100","13,800","13,800","13,000","6.10K","-3.68%"
"Dec 03, 2021","13,600","14,000","14,000","13,600","36.39K","-2.16%"
"Dec 02, 2021","13,900","13,500","14,000","13,500","47.70K","3.73%"
"Dec 01, 2021","13,400","14,200","14,600","13,400","54.10K","-5.63%"
"Nov 30, 2021","14,200","14,700","14,700","13,100","49.31K","-1.39%"
"Nov 29, 2021","14,400","14,500","14,500","14,400","0.30K","-0.69%"
"Nov 26, 2021","14,500","14,700","14,700","14,400","49.90K","0.69%"
"Nov 25, 2021","14,400","14,200","15,300","14,000","57.40K","1.41%"
"Nov 24, 2021","14,200","13,700","14,400","13,100","28.40K","2.16%"
"Nov 23, 2021","13,900","13,900","13,900","13,400","7.70K","2.21%"
"Nov 22, 2021","13,600","13,900","14,400","13,600","55.40K","-3.55%"
"Nov 19, 2021","14,100","14,700","15,300","13,900","53.50K","-4.08%"
"Nov 18, 2021","14,700","14,500","15,100","14,500","41.00K","0.00%"
"Nov 17, 2021","14,700","13,700","15,500","13,600","62.52K","5.76%"
"Nov 16, 2021","13,900","14,000","14,000","13,500","55.20K","-0.71%"
"Nov 15, 2021","14,000","14,100","14,400","13,600","58.20K","-2.10%"
"Nov 12, 2021","14,300","13,700","14,500","13,300","112.20K","8.33%"
"Nov 11, 2021","13,200","13,700","14,100","13,100","40.00K","-3.65%"
"Nov 10, 2021","13,700","13,300","14,000","13,300","19.70K","5.38%"
"Nov 09, 2021","13,000","13,200","13,400","13,000","27.80K","-1.52%"
"Nov 08, 2021","13,200","13,000","13,500","12,900","64.90K","3.94%"
"Nov 05, 2021","12,700","13,100","13,200","12,700","26.60K","-1.55%"
"Nov 04, 2021","12,900","13,500","13,500","12,900","28.70K","-3.01%"
"Nov 03, 2021","13,300","14,200","14,200","13,200","88.50K","-5.67%"
"Nov 02, 2021","14,100","13,400","14,500","13,400","130.70K","6.82%"
"Nov 01, 2021","13,200","13,000","13,800","12,500","64.10K","1.54%"
"Oct 29, 2021","13,000","11,400","13,000","11,400","169.50K","13.04%"
"Oct 28, 2021","11,500","11,500","11,700","11,500","30.10K","-0.86%"
"Oct 27, 2021","11,600","11,400","11,700","11,200","91.00K","0.00%"
"Oct 26, 2021","11,600","11,000","11,600","10,700","32.90K","5.45%"
"Oct 25, 2021","11,000","11,000","11,100","11,000","38.50K","0.00%"
"Oct 22, 2021","11,000","11,000","11,100","10,900","33.70K","-5.17%"
"Oct 21, 2021","11,600","10,400","11,700","10,400","10.60K","9.43%"
"Oct 20, 2021","10,600","10,600","11,700","10,500","20.10K","-10.17%"
"Oct 19, 2021","11,800","10,500","11,800","10,400","47.00K","0.00%"
"Oct 18, 2021","11,800","11,800","11,800","11,800","0.10K","0.00%"
"Oct 15, 2021","11,800","11,500","11,900","11,500","12.24K","0.85%"
"Oct 14, 2021","11,700","11,200","11,800","11,100","9.80K","5.41%"
"Oct 13, 2021","11,100","11,100","11,200","11,100","3.10K","0.91%"
"Oct 12, 2021","11,000","11,000","11,100","10,700","17.90K","-3.51%"
"Oct 11, 2021","11,400","11,000","11,500","11,000","33.10K","3.64%"
"Oct 08, 2021","11,000","11,000","11,000","11,000","3.60K","-3.51%"
"Oct 07, 2021","11,400","11,700","11,700","11,000","16.50K","-3.39%"
"Oct 06, 2021","11,800","11,500","12,000","11,000","100.80K","1.72%"
"Oct 05, 2021","11,600","10,400","11,600","10,400","84.80K","10.48%"
