"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 03, 2022","31,400.0","32,000.0","32,000.0","31,200.0","789.90K","-1.88%"
"Jun 02, 2022","32,000.0","32,000.0","32,000.0","31,200.0","3.02M","0.00%"
"Jun 01, 2022","32,000.0","32,150.0","32,700.0","31,500.0","1.73M","-1.08%"
"May 31, 2022","32,350.0","33,000.0","33,050.0","32,350.0","2.72M","-1.97%"
"May 30, 2022","33,000.0","32,400.0","33,100.0","32,150.0","5.40M","2.17%"
"May 27, 2022","32,300.0","31,600.0","32,800.0","31,500.0","4.88M","2.22%"
"May 26, 2022","31,600.0","31,900.0","31,950.0","31,450.0","1.31M","-0.94%"
"May 25, 2022","31,900.0","30,950.0","32,000.0","30,900.0","4.54M","3.24%"
"May 24, 2022","30,900.0","30,200.0","30,950.0","30,200.0","1.67M","3.00%"
"May 23, 2022","30,000.0","31,900.0","32,100.0","29,900.0","2.56M","-4.46%"
"May 20, 2022","31,400.0","31,900.0","32,200.0","31,200.0","2.10M","0.80%"
"May 19, 2022","31,150.0","31,450.0","32,150.0","30,750.0","1.96M","-3.26%"
"May 18, 2022","32,200.0","33,100.0","34,100.0","32,200.0","3.95M","-2.42%"
"May 17, 2022","33,000.0","31,000.0","33,050.0","30,500.0","3.92M","6.45%"
"May 16, 2022","31,000.0","31,000.0","31,600.0","30,200.0","2.42M","3.33%"
"May 13, 2022","30,000.0","32,000.0","32,000.0","29,400.0","3.56M","-5.06%"
"May 12, 2022","31,600.0","33,000.0","33,300.0","31,150.0","2.32M","-5.53%"
"May 11, 2022","33,450.0","33,300.0","33,450.0","31,800.0","3.61M","0.45%"
"May 10, 2022","33,300.0","31,000.0","33,600.0","30,500.0","5.93M","5.38%"
"May 09, 2022","31,600.0","32,800.0","33,850.0","31,400.0","2.20M","-5.95%"
"May 06, 2022","33,600.0","33,600.0","34,450.0","33,250.0","2.05M","-1.75%"
"May 05, 2022","34,200.0","32,500.0","34,200.0","32,500.0","7.81M","6.88%"
"May 04, 2022","32,000.0","33,600.0","33,700.0","31,300.0","1.64M","-4.76%"
"Apr 29, 2022","33,600.0","33,600.0","34,450.0","33,200.0","3.02M","-3.45%"
"Apr 28, 2022","34,800.0","34,900.0","35,400.0","33,600.0","1.82M","0.00%"
"Apr 27, 2022","34,800.0","34,950.0","35,000.0","33,450.0","2.24M","-0.43%"
"Apr 26, 2022","34,950.0","34,000.0","35,050.0","32,400.0","3.80M","1.30%"
"Apr 25, 2022","34,500.0","35,300.0","35,700.0","32,750.0","3.41M","-1.99%"
"Apr 22, 2022","35,200.0","35,050.0","36,000.0","34,800.0","2.54M","1.15%"
"Apr 21, 2022","34,800.0","35,600.0","36,300.0","34,100.0","3.72M","-1.97%"
"Apr 20, 2022","35,500.0","36,800.0","37,100.0","35,500.0","3.76M","-1.93%"
"Apr 19, 2022","36,200.0","37,900.0","38,100.0","36,200.0","1.93M","-4.49%"
"Apr 18, 2022","37,900.0","37,800.0","38,300.0","37,000.0","3.14M","1.47%"
"Apr 15, 2022","37,350.0","39,100.0","39,300.0","37,350.0","5.12M","-4.35%"
"Apr 14, 2022","39,050.0","40,000.0","40,000.0","39,000.0","2.54M","-2.38%"
"Apr 13, 2022","40,000.0","38,650.0","40,200.0","38,050.0","5.94M","5.12%"
"Apr 12, 2022","38,050.0","40,300.0","40,450.0","38,050.0","3.02M","-5.35%"
"Apr 08, 2022","40,200.0","40,900.0","41,200.0","40,200.0","3.49M","-1.95%"
"Apr 07, 2022","41,000.0","41,350.0","41,700.0","40,700.0","8.70M","-0.36%"
"Apr 06, 2022","41,150.0","40,700.0","41,400.0","40,200.0","6.70M","0.86%"
