"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 03, 2022","78,700","76,000","79,500","76,000","172.20K","-0.38%"
"Jun 02, 2022","79,000","80,800","80,800","79,000","641.40K","-1.86%"
"Jun 01, 2022","80,500","79,000","80,500","79,000","798.80K","2.03%"
"May 31, 2022","78,900","78,900","78,900","78,000","483.70K","1.15%"
"May 30, 2022","78,000","77,400","81,000","76,400","1.33M","0.78%"
"May 27, 2022","77,400","76,700","77,400","76,300","892.00K","0.91%"
"May 26, 2022","76,700","77,000","77,100","76,000","978.90K","-0.39%"
"May 25, 2022","77,000","76,000","77,000","74,800","817.00K","1.85%"
"May 24, 2022","75,600","74,900","75,700","74,300","898.70K","1.61%"
"May 23, 2022","74,400","75,600","75,600","73,600","631.60K","-1.20%"
"May 20, 2022","75,300","75,100","76,500","75,000","661.80K","-0.92%"
"May 19, 2022","76,000","75,000","76,700","74,800","575.80K","0.80%"
"May 18, 2022","75,400","77,000","77,000","75,000","881.00K","-0.79%"
"May 17, 2022","76,000","74,200","77,000","73,100","2.26M","2.43%"
"May 16, 2022","74,200","75,500","76,400","74,000","1.56M","1.64%"
"May 13, 2022","73,000","77,000","78,000","73,000","1.96M","-5.19%"
"May 12, 2022","77,000","79,000","79,900","77,000","972.30K","-3.75%"
"May 11, 2022","80,000","80,000","80,300","79,000","931.30K","0.00%"
"May 10, 2022","80,000","77,100","80,000","77,100","926.00K","2.70%"
"May 09, 2022","77,900","78,800","80,400","77,800","1.67M","-1.89%"
"May 06, 2022","79,400","79,700","81,200","79,400","775.90K","-1.98%"
"May 05, 2022","81,000","80,500","81,500","79,600","1.02M","1.38%"
"May 04, 2022","79,900","80,900","81,500","79,000","892.60K","-1.24%"
"Apr 29, 2022","80,900","81,400","82,300","80,000","1.26M","-0.74%"
"Apr 28, 2022","81,500","81,500","81,600","79,500","564.10K","0.00%"
"Apr 27, 2022","81,500","79,900","82,000","78,200","1.43M","1.24%"
"Apr 26, 2022","80,500","79,000","80,500","79,000","1.91M","-1.59%"
"Apr 25, 2022","81,800","82,200","83,000","77,000","2.48M","-0.49%"
"Apr 22, 2022","82,200","79,100","82,600","79,100","2.78M","4.85%"
