"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 03, 2022","41,450.0","42,500.0","42,800.0","40,700.0","784.70K","-1.78%"
"Jun 02, 2022","42,200.0","41,000.0","43,550.0","41,000.0","1.48M","3.18%"
"Jun 01, 2022","40,900.0","40,300.0","41,500.0","39,800.0","802.70K","2.00%"
"May 31, 2022","40,100.0","41,000.0","41,900.0","40,000.0","1.37M","-2.20%"
"May 30, 2022","41,000.0","40,150.0","41,700.0","39,650.0","1.15M","1.74%"
"May 27, 2022","40,300.0","40,000.0","41,150.0","40,000.0","918.00K","0.25%"
"May 26, 2022","40,200.0","40,200.0","41,950.0","39,950.0","1.07M","0.25%"
"May 25, 2022","40,100.0","38,000.0","40,500.0","37,150.0","1.55M","5.53%"
"May 24, 2022","38,000.0","36,800.0","38,000.0","35,000.0","771.00K","3.26%"
"May 23, 2022","36,800.0","39,900.0","39,900.0","36,400.0","1.40M","-5.88%"
"May 20, 2022","39,100.0","38,350.0","39,700.0","37,500.0","1.18M","4.27%"
"May 19, 2022","37,500.0","33,600.0","37,500.0","33,600.0","1.10M","6.99%"
"May 18, 2022","35,050.0","33,500.0","35,050.0","33,500.0","1.04M","6.86%"
"May 17, 2022","32,800.0","29,200.0","32,800.0","29,200.0","822.20K","1.86%"
"May 16, 2022","32,200.0","35,500.0","36,800.0","32,200.0","1.12M","-6.94%"
"May 13, 2022","34,600.0","36,500.0","38,300.0","34,600.0","1.25M","-6.99%"
"May 12, 2022","37,200.0","41,000.0","41,300.0","37,200.0","1.02M","-7.00%"
"May 11, 2022","40,000.0","40,750.0","42,000.0","39,000.0","449.80K","-3.15%"
"May 10, 2022","41,300.0","39,200.0","41,300.0","39,150.0","1.47M","-1.78%"
"May 09, 2022","42,050.0","43,150.0","44,550.0","42,050.0","1.14M","-6.97%"
"May 06, 2022","45,200.0","47,300.0","47,350.0","45,200.0","1.58M","-6.90%"
"May 05, 2022","48,550.0","47,050.0","48,750.0","47,050.0","1.81M","3.96%"
"May 04, 2022","46,700.0","47,200.0","47,200.0","45,800.0","941.90K","-1.06%"
"Apr 29, 2022","47,200.0","47,000.0","47,400.0","45,050.0","878.50K","2.39%"
"Apr 28, 2022","46,100.0","45,100.0","47,400.0","45,100.0","920.50K","1.10%"
"Apr 27, 2022","45,600.0","44,100.0","46,500.0","42,600.0","550.30K","3.40%"
"Apr 26, 2022","44,100.0","41,600.0","44,100.0","41,100.0","1.08M","0.00%"
"Apr 25, 2022","44,100.0","47,350.0","47,550.0","44,100.0","916.30K","-6.96%"
"Apr 22, 2022","47,400.0","47,500.0","47,800.0","44,200.0","874.60K","2.16%"
"Apr 21, 2022","46,400.0","44,000.0","47,500.0","42,800.0","1.31M","3.11%"
"Apr 20, 2022","45,000.0","47,000.0","48,900.0","45,000.0","1.60M","-6.25%"
"Apr 19, 2022","48,000.0","52,200.0","53,200.0","48,000.0","1.14M","-6.98%"
"Apr 18, 2022","51,600.0","50,300.0","52,700.0","49,500.0","1.49M","0.78%"
"Apr 15, 2022","51,200.0","52,500.0","54,000.0","51,100.0","1.89M","-6.57%"
"Apr 14, 2022","54,800.0","56,000.0","57,000.0","54,600.0","1.10M","-1.62%"
"Apr 13, 2022","55,700.0","52,300.0","55,700.0","52,300.0","983.90K","6.91%"
"Apr 12, 2022","52,100.0","55,000.0","55,500.0","51,000.0","1.03M","-3.34%"
"Apr 08, 2022","53,900.0","56,000.0","58,100.0","53,900.0","2.00M","-6.91%"
"Apr 07, 2022","57,900.0","59,900.0","61,300.0","56,500.0","2.64M","-4.14%"
"Apr 06, 2022","60,400.0","60,400.0","63,800.0","60,400.0","3.36M","-6.93%"
"Apr 05, 2022","64,900.0","65,900.0","66,600.0","64,600.0","1.68M","-2.26%"
"Apr 04, 2022","66,400.0","64,000.0","68,200.0","64,000.0","1.81M","3.91%"
"Apr 01, 2022","63,900.0","65,200.0","65,800.0","63,200.0","1.36M","-1.39%"
"Mar 31, 2022","64,800.0","60,000.0","64,800.0","59,400.0","2.69M","6.93%"
"Mar 30, 2022","60,600.0","59,300.0","61,000.0","57,500.0","1.65M","1.00%"
"Mar 29, 2022","60,000.0","60,800.0","61,300.0","59,800.0","998.40K","-1.32%"
"Mar 28, 2022","60,800.0","57,800.0","61,000.0","56,100.0","1.80M","3.05%"
"Mar 25, 2022","59,000.0","57,600.0","60,000.0","57,600.0","1.73M","1.90%"
"Mar 24, 2022","57,900.0","54,200.0","57,900.0","54,100.0","3.58M","6.83%"
"Mar 23, 2022","54,200.0","52,000.0","54,200.0","51,800.0","1.53M","4.23%"
"Mar 22, 2022","52,000.0","51,500.0","52,900.0","51,400.0","799.10K","1.36%"
"Mar 21, 2022","51,300.0","50,500.0","51,700.0","50,500.0","361.60K","0.79%"
"Mar 18, 2022","50,900.0","51,200.0","51,700.0","50,200.0","311.10K","0.59%"
"Mar 17, 2022","50,600.0","50,000.0","51,100.0","49,600.0","669.20K","2.12%"
"Mar 16, 2022","49,550.0","51,000.0","51,400.0","49,350.0","655.90K","-2.08%"
"Mar 15, 2022","50,600.0","49,000.0","50,800.0","48,500.0","545.20K","2.33%"
"Mar 14, 2022","49,450.0","50,100.0","51,500.0","49,400.0","844.00K","-3.04%"
"Mar 11, 2022","51,000.0","53,100.0","53,200.0","51,000.0","1.46M","-4.32%"
"Mar 10, 2022","53,300.0","54,000.0","54,100.0","53,100.0","566.50K","0.76%"
"Mar 09, 2022","52,900.0","53,700.0","54,000.0","52,800.0","689.80K","-1.67%"
"Mar 08, 2022","53,800.0","54,400.0","56,200.0","53,800.0","1.77M","-1.65%"
"Mar 07, 2022","54,700.0","53,000.0","54,800.0","52,900.0","1.23M","2.24%"
"Mar 04, 2022","53,500.0","53,400.0","54,300.0","52,500.0","910.00K","0.38%"
"Mar 03, 2022","53,300.0","52,100.0","53,300.0","51,800.0","811.50K","2.11%"
"Mar 02, 2022","52,200.0","53,900.0","53,900.0","52,200.0","643.00K","-3.15%"
"Mar 01, 2022","53,900.0","52,200.0","53,900.0","51,600.0","1.61M","2.67%"
"Feb 28, 2022","52,500.0","53,900.0","53,900.0","52,500.0","860.30K","-2.05%"
"Feb 25, 2022","53,600.0","53,200.0","54,600.0","53,000.0","774.40K","1.13%"
"Feb 24, 2022","53,000.0","55,000.0","55,000.0","51,200.0","1.88M","-3.64%"
"Feb 23, 2022","55,000.0","54,600.0","55,800.0","53,800.0","1.55M","0.00%"
"Feb 22, 2022","55,000.0","55,300.0","55,800.0","53,800.0","1.50M","-2.14%"
"Feb 21, 2022","56,200.0","56,500.0","57,000.0","55,600.0","936.00K","-0.53%"
"Feb 18, 2022","56,500.0","53,800.0","56,900.0","53,500.0","2.57M","3.67%"
"Feb 17, 2022","54,500.0","54,600.0","55,800.0","53,000.0","1.24M","-0.18%"
"Feb 16, 2022","54,600.0","54,300.0","54,800.0","53,500.0","1.41M","1.87%"
"Feb 15, 2022","53,600.0","53,500.0","53,600.0","52,500.0","734.60K","-0.19%"
"Feb 14, 2022","53,700.0","53,600.0","54,500.0","53,200.0","1.01M","-1.47%"
"Feb 11, 2022","54,500.0","54,000.0","55,200.0","54,000.0","1.02M","-0.55%"
"Feb 10, 2022","54,800.0","53,000.0","54,900.0","52,300.0","1.94M","3.40%"
"Feb 09, 2022","53,000.0","51,800.0","53,300.0","51,700.0","888.50K","2.32%"
"Feb 08, 2022","51,800.0","49,900.0","52,000.0","49,900.0","1.07M","3.81%"
"Feb 07, 2022","49,900.0","50,300.0","50,300.0","48,600.0","279.90K","3.10%"
"Jan 28, 2022","48,400.0","48,100.0","49,600.0","47,500.0","374.10K","1.26%"
"Jan 27, 2022","47,800.0","49,800.0","51,100.0","47,800.0","428.10K","-3.82%"
"Jan 26, 2022","49,700.0","49,500.0","51,900.0","49,500.0","659.40K","0.40%"
"Jan 25, 2022","49,500.0","46,000.0","49,700.0","45,700.0","584.40K","6.45%"
"Jan 24, 2022","46,500.0","49,100.0","49,950.0","46,350.0","713.40K","-6.63%"
"Jan 21, 2022","49,800.0","51,000.0","51,900.0","49,600.0","1.02M","-3.11%"
"Jan 20, 2022","51,400.0","49,400.0","51,400.0","48,100.0","1.12M","6.86%"
"Jan 19, 2022","48,100.0","49,300.0","49,300.0","46,800.0","676.10K","1.26%"
"Jan 18, 2022","47,500.0","47,500.0","48,850.0","46,200.0","920.70K","-2.76%"
"Jan 17, 2022","48,850.0","53,000.0","53,000.0","48,850.0","1.43M","-6.95%"
"Jan 14, 2022","52,500.0","50,700.0","53,600.0","50,600.0","714.00K","1.94%"
"Jan 13, 2022","51,500.0","54,200.0","55,300.0","51,000.0","1.18M","-4.63%"
"Jan 12, 2022","54,000.0","53,000.0","55,000.0","51,200.0","2.33M","-1.82%"
"Jan 11, 2022","55,000.0","55,000.0","57,600.0","55,000.0","1.14M","-1.43%"
"Jan 10, 2022","55,800.0","59,500.0","59,500.0","55,800.0","1.43M","-5.42%"
"Jan 07, 2022","59,000.0","56,900.0","59,500.0","56,000.0","1.76M","3.87%"
"Jan 06, 2022","56,800.0","55,200.0","57,700.0","55,000.0","1.11M","1.43%"
"Jan 05, 2022","56,000.0","57,300.0","57,900.0","56,000.0","1.58M","-1.58%"
"Jan 04, 2022","56,900.0","53,200.0","56,900.0","53,100.0","2.29M","6.95%"
"Dec 31, 2021","53,200.0","53,900.0","54,900.0","52,500.0","743.80K","0.38%"
"Dec 30, 2021","53,000.0","50,600.0","53,000.0","50,500.0","1.14M","4.74%"
"Dec 29, 2021","50,600.0","53,000.0","53,000.0","50,600.0","1.75M","-4.53%"
"Dec 28, 2021","53,000.0","52,900.0","54,900.0","52,900.0","1.11M","-0.56%"
"Dec 27, 2021","53,300.0","53,600.0","53,900.0","50,500.0","1.08M","-0.37%"
"Dec 24, 2021","53,500.0","54,900.0","54,900.0","52,000.0","1.51M","-0.74%"
"Dec 23, 2021","53,900.0","53,600.0","55,600.0","53,600.0","2.08M","-0.37%"
