"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 03, 2022","1,286.01","1,288.62","1,292.78","1,276.37","427.89K","-0.20%"
"Jun 02, 2022","1,288.62","1,299.52","1,302.66","1,283.32","572.55K","-0.84%"
"Jun 01, 2022","1,299.52","1,292.68","1,302.25","1,286.01","573.63K","0.53%"
"May 31, 2022","1,292.68","1,293.92","1,297.64","1,280.44","591.09K","-0.10%"
"May 30, 2022","1,293.92","1,285.45","1,296.22","1,281.27","587.23K","0.66%"
"May 27, 2022","1,285.45","1,268.57","1,286.99","1,268.57","607.22K","1.33%"
"May 26, 2022","1,268.57","1,268.43","1,278.11","1,261.55","541.91K","0.01%"
"May 25, 2022","1,268.43","1,233.38","1,268.43","1,233.38","655.24K","2.84%"
"May 24, 2022","1,233.38","1,218.81","1,233.38","1,203.28","528.48K","1.20%"
"May 23, 2022","1,218.81","1,240.71","1,246.58","1,207.99","557.43K","-1.77%"
"May 20, 2022","1,240.71","1,241.64","1,252.96","1,232.33","504.69K","-0.07%"
"May 19, 2022","1,241.64","1,240.76","1,246.66","1,210.43","496.73K","0.07%"
"May 18, 2022","1,240.76","1,228.37","1,249.84","1,222.92","566.36K","1.01%"
"May 17, 2022","1,228.37","1,171.95","1,228.37","1,156.54","583.96K","4.81%"
"May 16, 2022","1,171.95","1,182.77","1,215.96","1,170.59","584.39K","-0.91%"
"May 13, 2022","1,182.77","1,238.84","1,238.84","1,180.60","816.99K","-4.53%"
"May 12, 2022","1,238.84","1,301.53","1,301.53","1,238.05","557.89K","-4.82%"
"May 11, 2022","1,301.53","1,293.56","1,305.17","1,277.91","418.23K","0.62%"
"May 10, 2022","1,293.56","1,269.62","1,293.56","1,232.57","665.48K","1.89%"
"May 09, 2022","1,269.62","1,329.26","1,329.26","1,265.54","673.76K","-4.49%"
"May 06, 2022","1,329.26","1,360.68","1,360.68","1,328.13","564.07K","-2.31%"
"May 05, 2022","1,360.68","1,348.68","1,362.18","1,331.41","531.08K","0.89%"
"May 04, 2022","1,348.68","1,366.11","1,366.39","1,348.68","528.29K","-1.33%"
"Apr 29, 2022","1,366.80","1,350.99","1,369.31","1,343.24","598.40K","1.17%"
"Apr 28, 2022","1,350.99","1,353.77","1,358.07","1,344.10","485.12K","-0.21%"
"Apr 27, 2022","1,353.77","1,341.34","1,355.92","1,314.81","519.56K","0.93%"
"Apr 26, 2022","1,341.34","1,310.92","1,341.34","1,261.40","727.65K","2.32%"
"Apr 25, 2022","1,310.92","1,379.23","1,382.13","1,298.38","762.88K","-4.95%"
"Apr 22, 2022","1,379.23","1,370.21","1,392.89","1,352.43","834.41K","0.66%"
"Apr 21, 2022","1,370.21","1,384.72","1,392.33","1,356.58","810.67K","-1.05%"
"Apr 20, 2022","1,384.72","1,401.63","1,410.64","1,384.72","688.33K","-1.55%"
"Apr 19, 2022","1,406.45","1,432.60","1,442.04","1,406.45","702.35K","-1.83%"
"Apr 18, 2022","1,432.60","1,458.56","1,458.56","1,425.07","827.69K","-1.78%"
"Apr 15, 2022","1,458.56","1,472.12","1,478.95","1,456.39","659.47K","-0.92%"
"Apr 14, 2022","1,472.12","1,477.20","1,484.34","1,471.75","523.37K","-0.34%"
"Apr 13, 2022","1,477.20","1,455.25","1,477.20","1,448.52","674.79K","1.51%"
"Apr 12, 2022","1,455.25","1,482.00","1,490.58","1,455.25","680.06K","-1.80%"
"Apr 08, 2022","1,482.00","1,502.35","1,507.73","1,482.00","763.56K","-1.35%"
"Apr 07, 2022","1,502.35","1,522.90","1,524.92","1,502.35","795.13K","-1.35%"
"Apr 06, 2022","1,522.90","1,520.03","1,523.75","1,507.62","944.04K","0.19%"
"Apr 05, 2022","1,520.03","1,524.70","1,527.57","1,519.28","703.53K","-0.31%"
"Apr 04, 2022","1,524.70","1,516.44","1,530.95","1,516.44","779.58K","0.54%"
"Apr 01, 2022","1,516.44","1,492.15","1,516.87","1,484.13","967.67K","1.63%"
"Mar 31, 2022","1,492.15","1,490.51","1,498.41","1,488.27","684.54K","0.11%"
"Mar 30, 2022","1,490.51","1,497.76","1,503.89","1,483.90","901.49K","-0.48%"
"Mar 29, 2022","1,497.76","1,483.18","1,498.45","1,483.18","737.94K","0.98%"
"Mar 28, 2022","1,483.18","1,498.50","1,498.50","1,473.80","1.07M","-1.02%"
"Mar 25, 2022","1,498.50","1,500.17","1,503.29","1,494.55","768.94K","0.02%"
"Mar 24, 2022","1,498.26","1,502.34","1,505.39","1,495.18","784.91K","-0.27%"
"Mar 23, 2022","1,502.34","1,503.78","1,513.90","1,501.67","861.13K","-0.10%"
"Mar 22, 2022","1,503.78","1,494.95","1,507.71","1,494.95","947.70K","0.59%"
"Mar 21, 2022","1,494.95","1,474.78","1,494.95","1,474.38","792.16K","1.76%"
"Mar 18, 2022","1,469.10","1,461.34","1,474.86","1,461.34","795.73K","0.53%"
"Mar 17, 2022","1,461.34","1,459.33","1,467.74","1,459.14","717.44K","0.14%"
"Mar 16, 2022","1,459.33","1,452.74","1,462.98","1,452.74","624.22K","0.45%"
"Mar 15, 2022","1,452.74","1,446.25","1,453.07","1,437.27","675.63K","0.45%"
"Mar 14, 2022","1,446.25","1,466.54","1,466.54","1,439.19","858.57K","-1.38%"
"Mar 11, 2022","1,466.54","1,479.08","1,480.29","1,458.88","878.19K","-0.85%"
"Mar 10, 2022","1,479.08","1,473.74","1,488.59","1,473.74","649.94K","0.36%"
"Mar 09, 2022","1,473.74","1,473.71","1,482.86","1,462.80","930.30K","0.00%"
"Mar 08, 2022","1,473.71","1,499.05","1,499.05","1,473.71","1.04M","-1.69%"
"Mar 07, 2022","1,499.05","1,505.33","1,505.33","1,493.87","981.72K","-0.42%"
"Mar 04, 2022","1,505.33","1,505.00","1,509.19","1,501.39","928.92K","0.02%"
"Mar 03, 2022","1,505.00","1,485.52","1,505.00","1,485.52","929.21K","1.31%"
"Mar 02, 2022","1,485.52","1,499.37","1,500.41","1,479.55","941.55K","-0.88%"
"Mar 01, 2022","1,498.78","1,490.13","1,501.73","1,490.13","842.43K","0.58%"
"Feb 28, 2022","1,490.13","1,498.89","1,502.36","1,487.57","729.79K","-0.58%"
"Feb 25, 2022","1,498.89","1,494.85","1,512.05","1,494.85","768.01K","0.27%"
"Feb 24, 2022","1,494.85","1,512.30","1,513.25","1,473.76","1.16M","-1.15%"
"Feb 23, 2022","1,512.30","1,503.47","1,520.78","1,503.47","694.65K","0.59%"
"Feb 22, 2022","1,503.47","1,510.84","1,510.84","1,484.81","908.05K","-0.49%"
"Feb 21, 2022","1,510.84","1,504.84","1,516.63","1,500.97","791.92K","0.40%"
"Feb 18, 2022","1,504.84","1,507.99","1,507.99","1,492.38","697.55K","-0.21%"
"Feb 17, 2022","1,507.99","1,492.10","1,507.99","1,492.10","615.79K","1.06%"
"Feb 16, 2022","1,492.10","1,492.75","1,499.50","1,486.68","702.52K","-0.04%"
"Feb 15, 2022","1,492.75","1,471.96","1,495.56","1,470.06","606.42K","1.41%"
"Feb 14, 2022","1,471.96","1,501.71","1,501.71","1,471.96","810.72K","-1.98%"
